Pais;Tipo de falla;Dias respuesta;Outcome;I pais;I falla
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;4;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;5;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;6;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;7;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;8;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;9;0;4;3
Peru;ELECTRICAL CONNECTORS;10;0;4;3
Peru;ELECTRICAL CONNECTORS;10;0;4;3
Peru;ELECTRICAL CONNECTORS;10;0;4;3
Peru;ELECTRICAL CONNECTORS;13;0;4;3
Peru;ELECTRICAL CONNECTORS;13;0;4;3
Peru;ELECTRICAL CONNECTORS;14;0;4;3
Peru;ELECTRICAL CONNECTORS;16;0;4;3
Peru;ELECTRICAL CONNECTORS;17;0;4;3
Peru;ELECTRICAL CONNECTORS;17;0;4;3
Peru;ELECTRICAL CONNECTORS;18;0;4;3
Peru;ELECTRICAL CONNECTORS;19;0;4;3
Peru;ELECTRICAL CONNECTORS;20;0;4;3
Peru;ELECTRICAL CONNECTORS;21;0;4;3
Peru;ELECTRICAL CONNECTORS;22;0;4;3
Guatemala;ELECTRICAL CONNECTORS;1;0;5;3
Guatemala;ELECTRICAL CONNECTORS;16;0;5;3
Guatemala;ELECTRICAL CONNECTORS;30;0;5;3
Republica Dominicana;ELECTRICAL CONNECTORS;1;0;6;3
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;1;0;4;4
Peru;FLEX WIRE;2;0;4;4
Peru;FLEX WIRE;2;0;4;4
Peru;FLEX WIRE;3;0;4;4
Peru;FLEX WIRE;3;0;4;4
Peru;FLEX WIRE;3;0;4;4
Peru;FLEX WIRE;5;0;4;4
Peru;FLEX WIRE;5;0;4;4
Peru;FLEX WIRE;6;0;4;4
Peru;FLEX WIRE;7;0;4;4
Ecuador;IR BOARD;5;0;1;5
Ecuador;IR BOARD;6;0;1;5
Ecuador;IR BOARD;6;0;1;5
Mexico;IR BOARD;3;0;3;5
Mexico;IR BOARD;4;0;3;5
Mexico;IR BOARD;4;0;3;5
Mexico;IR BOARD;5;0;3;5
Mexico;IR BOARD;7;0;3;5
Mexico;IR BOARD;10;0;3;5
Mexico;IR BOARD;6;0;3;5
Mexico;IR BOARD;10;0;3;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;3;0;4;5
Peru;IR BOARD;4;0;4;5
Peru;IR BOARD;4;0;4;5
Peru;IR BOARD;6;0;4;5
Peru;IR BOARD;7;0;4;5
Peru;IR BOARD;7;0;4;5
Peru;IR BOARD;12;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;1;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;2;0;4;5
Peru;IR BOARD;3;0;4;5
Peru;IR BOARD;3;0;4;5
Peru;IR BOARD;3;0;4;5
Peru;IR BOARD;4;0;4;5
Peru;IR BOARD;5;0;4;5
Peru;IR BOARD;5;0;4;5
Peru;IR BOARD;8;0;4;5
Peru;IR BOARD;9;0;4;5
Peru;IR BOARD;10;0;4;5
Guatemala;IR BOARD;1;0;5;5
Guatemala;IR BOARD;30;0;5;5
Guatemala;IR BOARD;13;0;5;5
Venezuela;IR BOARD;1;0;7;5
Venezuela;IR BOARD;1;0;7;5
Ecuador;KEYBOARD;1;0;1;6
Ecuador;KEYBOARD;5;0;1;6
Ecuador;KEYBOARD;28;0;1;6
Ecuador;KEYBOARD;17;0;1;6
Ecuador;KEYBOARD;25;0;1;6
Mexico;KEYBOARD;1;0;3;6
Mexico;KEYBOARD;1;0;3;6
Mexico;KEYBOARD;2;0;3;6
Mexico;KEYBOARD;2;0;3;6
Mexico;KEYBOARD;2;0;3;6
Mexico;KEYBOARD;3;0;3;6
Mexico;KEYBOARD;3;0;3;6
Mexico;KEYBOARD;3;0;3;6
Mexico;KEYBOARD;3;0;3;6
Mexico;KEYBOARD;3;0;3;6
Mexico;KEYBOARD;4;0;3;6
Mexico;KEYBOARD;4;0;3;6
Mexico;KEYBOARD;5;0;3;6
Mexico;KEYBOARD;8;0;3;6
Mexico;KEYBOARD;7;0;3;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;3;0;4;6
Peru;KEYBOARD;3;0;4;6
Peru;KEYBOARD;3;0;4;6
Peru;KEYBOARD;10;0;4;6
Peru;KEYBOARD;1;0;4;6
Peru;KEYBOARD;2;0;4;6
Peru;KEYBOARD;2;0;4;6
Peru;KEYBOARD;2;0;4;6
Peru;KEYBOARD;4;0;4;6
Peru;KEYBOARD;4;0;4;6
Peru;KEYBOARD;5;0;4;6
Peru;KEYBOARD;5;0;4;6
Peru;KEYBOARD;5;0;4;6
Peru;KEYBOARD;5;0;4;6
Peru;KEYBOARD;7;0;4;6
Republica Dominicana;KEYBOARD;1;0;6;6
Republica Dominicana;KEYBOARD;2;0;6;6
Republica Dominicana;KEYBOARD;5;0;6;6
Ecuador;LED LINES;3;0;1;7
Ecuador;LED LINES;5;0;1;7
Ecuador;LED LINES;6;0;1;7
Ecuador;LED LINES;6;0;1;7
Ecuador;LED LINES;19;0;1;7
Ecuador;LED LINES;20;0;1;7
Ecuador;LED LINES;37;0;1;7
Ecuador;LED LINES;44;0;1;7
Ecuador;LED LINES;49;0;1;7
Mexico;LED LINES;2;0;3;7
Mexico;LED LINES;4;0;3;7
Mexico;LED LINES;15;0;3;7
Mexico;LED LINES;15;0;3;7
Mexico;LED LINES;16;0;3;7
Mexico;LED LINES;25;0;3;7
Mexico;LED LINES;29;0;3;7
Mexico;LED LINES;40;0;3;7
Mexico;LED LINES;1;1;3;7
Mexico;LED LINES;49;1;3;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;1;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
